entero,celsius,calibrado
38,18.57,1
39,19.06,1
38,18.57,1
37,18.08,1
39,19.06,1
39,19.06,1
38,18.57,1
39,19.06,1
38,18.57,1
38,18.57,1
39,19.06,1
38,18.57,1
38,18.57,1
37,18.08,1
37,18.08,1
37,18.08,1
37,18.08,1
37,18.08,1
38,18.57,1
37,18.08,1
37,18.08,1
36,17.60,1
37,18.08,1
37,18.08,1
37,18.08,1
39,19.06,1
40,19.55,1
40,19.55,1
39,19.06,1
39,19.06,1
39,19.06,1
38,18.57,1
37,18.08,1
36,17.60,1
37,18.08,1
36,17.60,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
34,16.62,1
35,17.11,1
36,17.60,1
35,17.11,1
36,17.60,1
35,17.11,1
34,16.62,1
34,16.62,1
33,16.13,1
32,15.64,1
33,16.13,1
32,15.64,1
31,15.15,1
30,14.66,1
28,13.69,1
27,13.20,1
27,13.20,1
27,13.20,1
26,12.71,1
26,12.71,1
25,12.22,1
26,12.71,1
26,12.71,1
25,12.22,1
24,11.73,1
24,11.73,1
22,10.75,1
22,10.75,1
23,11.24,1
23,11.24,1
21,10.26,1
22,10.75,1
21,10.26,1
20,9.78,0
21,10.26,1
21,10.26,1
22,10.75,1
20,9.78,0
21,10.26,1
21,10.26,1
19,9.29,0
20,9.78,0
20,9.78,0
21,10.26,1
20,9.78,0
21,10.26,1
20,9.78,0
21,10.26,1
21,10.26,1
21,10.26,1
22,10.75,1
21,10.26,1
21,10.26,1
22,10.75,1
21,10.26,1
22,10.75,1
21,10.26,1
21,10.26,1
22,10.75,1
23,11.24,1
22,10.75,1
22,10.75,1
22,10.75,1
23,11.24,1
22,10.75,1
24,11.73,1
23,11.24,1
22,10.75,1
24,11.73,1
23,11.24,1
24,11.73,1
24,11.73,1
23,11.24,1
24,11.73,1
24,11.73,1
25,12.22,1
25,12.22,1
24,11.73,1
24,11.73,1
25,12.22,1
24,11.73,1
27,13.20,1
25,12.22,1
26,12.71,1
25,12.22,1
26,12.71,1
24,11.73,1
26,12.71,1
26,12.71,1
25,12.22,1
24,11.73,1
25,12.22,1
25,12.22,1
24,11.73,1
24,11.73,1
23,11.24,1
23,11.24,1
24,11.73,1
24,11.73,1
24,11.73,1
22,10.75,1
23,11.24,1
21,10.26,1
22,10.75,1
21,10.26,1
21,10.26,1
21,10.26,1
21,10.26,1
21,10.26,1
22,10.75,1
21,10.26,1
20,9.78,0
22,10.75,1
21,10.26,1
21,10.26,1
21,10.26,1
20,9.78,0
19,9.29,0
20,9.78,0
20,9.78,0
19,9.29,0
19,9.29,0
20,9.78,0
21,10.26,1
20,9.78,0
19,9.29,0
18,8.80,0
18,8.80,0
19,9.29,0
19,9.29,0
19,9.29,0
19,9.29,0
20,9.78,0
20,9.78,0
19,9.29,0
20,9.78,0
20,9.78,0
18,8.80,0
19,9.29,0
19,9.29,0
18,8.80,0
19,9.29,0
18,8.80,0
18,8.80,0
18,8.80,0
19,9.29,0
17,8.31,0
17,8.31,0
18,8.80,0
18,8.80,0
18,8.80,0
17,8.31,0
17,8.31,0
17,8.31,0
18,8.80,0
18,8.80,0
17,8.31,0
18,8.80,0
18,8.80,0
16,7.82,0
18,8.80,0
18,8.80,0
19,9.29,0
18,8.80,0
18,8.80,0
18,8.80,0
18,8.80,0
17,8.31,0
17,8.31,0
19,9.29,0
18,8.80,0
18,8.80,0
18,8.80,0
17,8.31,0
19,9.29,0
18,8.80,0
18,8.80,0
17,8.31,0
18,8.80,0
17,8.31,0
17,8.31,0
18,8.80,0
16,7.82,0
19,9.29,0
17,8.31,0
18,8.80,0
17,8.31,0
16,7.82,0
17,8.31,0
18,8.80,0
16,7.82,0
17,8.31,0
19,9.29,0
21,10.26,1
22,10.75,1
23,11.24,1
21,10.26,1
21,10.26,1
20,9.78,0
19,9.29,0
19,9.29,0
19,9.29,0
20,9.78,0
17,8.31,0
17,8.31,0
15,7.33,0
16,7.82,0
16,7.82,0
15,7.33,0
16,7.82,0
15,7.33,0
16,7.82,0
15,7.33,0
13,6.35,0
15,7.33,0
14,6.84,0
16,7.82,0
15,7.33,0
15,7.33,0
15,7.33,0
16,7.82,0
17,8.31,0
16,7.82,0
18,8.80,0
16,7.82,0
17,8.31,0
19,9.29,0
18,8.80,0
18,8.80,0
18,8.80,0
20,9.78,0
17,8.31,0
20,9.78,0
18,8.80,0
21,10.26,1
18,8.80,0
19,9.29,0
19,9.29,0
19,9.29,0
19,9.29,0
19,9.29,0
19,9.29,0
18,8.80,0
19,9.29,0
18,8.80,0
19,9.29,0
20,9.78,0
18,8.80,0
19,9.29,0
20,9.78,0
19,9.29,0
19,9.29,0
18,8.80,0
17,8.31,0
18,8.80,0
19,9.29,0
19,9.29,0
18,8.80,0
18,8.80,0
18,8.80,0
17,8.31,0
18,8.80,0
18,8.80,0
18,8.80,0
18,8.80,0
18,8.80,0
17,8.31,0
19,9.29,0
19,9.29,0
19,9.29,0
18,8.80,0
19,9.29,0
19,9.29,0
18,8.80,0
20,9.78,0
20,9.78,0
20,9.78,0
19,9.29,0
19,9.29,0
20,9.78,0
20,9.78,0
22,10.75,1
20,9.78,0
21,10.26,1
24,11.73,1
24,11.73,1
22,10.75,1
23,11.24,1
23,11.24,1
25,12.22,1
24,11.73,1
25,12.22,1
24,11.73,1
23,11.24,1
25,12.22,1
24,11.73,1
24,11.73,1
22,10.75,1
22,10.75,1
24,11.73,1
24,11.73,1
23,11.24,1
22,10.75,1
23,11.24,1
24,11.73,1
26,12.71,1
31,15.15,1
30,14.66,1
30,14.66,1
29,14.17,1
29,14.17,1
28,13.69,1
29,14.17,1
30,14.66,1
29,14.17,1
29,14.17,1
31,15.15,1
30,14.66,1
30,14.66,1
29,14.17,1
31,15.15,1
31,15.15,1
31,15.15,1
30,14.66,1
31,15.15,1
30,14.66,1
32,15.64,1
31,15.15,1
30,14.66,1
32,15.64,1
32,15.64,1
31,15.15,1
32,15.64,1
32,15.64,1
32,15.64,1
32,15.64,1
31,15.15,1
31,15.15,1
31,15.15,1
31,15.15,1
32,15.64,1
32,15.64,1
33,16.13,1
33,16.13,1
33,16.13,1
32,15.64,1
33,16.13,1
33,16.13,1
33,16.13,1
32,15.64,1
33,16.13,1
33,16.13,1
33,16.13,1
32,15.64,1
32,15.64,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
34,16.62,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
34,16.62,1
33,16.13,1
33,16.13,1
32,15.64,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
35,17.11,1
35,17.11,1
35,17.11,1
34,16.62,1
34,16.62,1
34,16.62,1
35,17.11,1
35,17.11,1
33,16.13,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
35,17.11,1
35,17.11,1
34,16.62,1
34,16.62,1
34,16.62,1
33,16.13,1
35,17.11,1
35,17.11,1
35,17.11,1
35,17.11,1
35,17.11,1
34,16.62,1
35,17.11,1
34,16.62,1
34,16.62,1
35,17.11,1
35,17.11,1
36,17.60,1
36,17.60,1
34,16.62,1
35,17.11,1
35,17.11,1
35,17.11,1
35,17.11,1
35,17.11,1
36,17.60,1
35,17.11,1
35,17.11,1
35,17.11,1
36,17.60,1
35,17.11,1
34,16.62,1
36,17.60,1
37,18.08,1
37,18.08,1
38,18.57,1
40,19.55,1
43,21.02,1
43,21.02,1
43,21.02,1
43,21.02,1
42,20.53,1
43,21.02,1
42,20.53,1
42,20.53,1
42,20.53,1
42,20.53,1
43,21.02,1
43,21.02,1
43,21.02,1
44,21.51,1
45,21.99,1
46,22.48,1
46,22.48,1
46,22.48,1
46,22.48,1
47,22.97,1
48,23.46,1
49,23.95,1
47,22.97,1
48,23.46,1
48,23.46,1
48,23.46,1
48,23.46,1
48,23.46,1
49,23.95,1
48,23.46,1
48,23.46,1
49,23.95,1
49,23.95,1
48,23.46,1
50,24.44,1
49,23.95,1
48,23.46,1
49,23.95,1
51,24.93,1
52,25.42,0
54,26.39,0
54,26.39,0
55,26.88,0
54,26.39,0
55,26.88,0
55,26.88,0
56,27.37,0
55,26.88,0
54,26.39,0
55,26.88,0
55,26.88,0
55,26.88,0
55,26.88,0
55,26.88,0
54,26.39,0
54,26.39,0
54,26.39,0
55,26.88,0
54,26.39,0
53,25.90,0
54,26.39,0
56,27.37,0
57,27.86,0
60,29.33,0
61,29.81,0
61,29.81,0
63,30.79,0
64,31.28,0
63,30.79,0
65,31.77,0
66,32.26,0
67,32.75,0
67,32.75,0
67,32.75,0
68,33.24,0
68,33.24,0
69,33.72,0
68,33.24,0
70,34.21,0
70,34.21,0
70,34.21,0
68,33.24,0
68,33.24,0
68,33.24,0
67,32.75,0
68,33.24,0
69,33.72,0
68,33.24,0
68,33.24,0
68,33.24,0
70,34.21,0
72,35.19,0
75,36.66,0
75,36.66,0
76,37.15,0
74,36.17,0
73,35.68,0
73,35.68,0
72,35.19,0
71,34.70,0
70,34.21,0
70,34.21,0
69,33.72,0
68,33.24,0
68,33.24,0
68,33.24,0
66,32.26,0
66,32.26,0
65,31.77,0
65,31.77,0
65,31.77,0
63,30.79,0
63,30.79,0
62,30.30,0
60,29.33,0
61,29.81,0
59,28.84,0
60,29.33,0
59,28.84,0
59,28.84,0
58,28.35,0
58,28.35,0
57,27.86,0
56,27.37,0
56,27.37,0
56,27.37,0
56,27.37,0
55,26.88,0
55,26.88,0
56,27.37,0
53,25.90,0
54,26.39,0
55,26.88,0
54,26.39,0
52,25.42,0
53,25.90,0
53,25.90,0
51,24.93,1
52,25.42,0
52,25.42,0
52,25.42,0
52,25.42,0
52,25.42,0
51,24.93,1
50,24.44,1
50,24.44,1
52,25.42,0
50,24.44,1
51,24.93,1
49,23.95,1
49,23.95,1
50,24.44,1
49,23.95,1
50,24.44,1
49,23.95,1
50,24.44,1
49,23.95,1
49,23.95,1
49,23.95,1
49,23.95,1
48,23.46,1
48,23.46,1
49,23.95,1
48,23.46,1
48,23.46,1
47,22.97,1
48,23.46,1
47,22.97,1
48,23.46,1
48,23.46,1
47,22.97,1
47,22.97,1
48,23.46,1
46,22.48,1
47,22.97,1
47,22.97,1
48,23.46,1
47,22.97,1
48,23.46,1
47,22.97,1
46,22.48,1
46,22.48,1
46,22.48,1
47,22.97,1
47,22.97,1
47,22.97,1
46,22.48,1
47,22.97,1
46,22.48,1
46,22.48,1
46,22.48,1
46,22.48,1
46,22.48,1
45,21.99,1
46,22.48,1
46,22.48,1
46,22.48,1
46,22.48,1
46,22.48,1
46,22.48,1
46,22.48,1
44,21.51,1
45,21.99,1
46,22.48,1
45,21.99,1
44,21.51,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
45,21.99,1
44,21.51,1
45,21.99,1
44,21.51,1
45,21.99,1
45,21.99,1
45,21.99,1
44,21.51,1
45,21.99,1
44,21.51,1
44,21.51,1
43,21.02,1
43,21.02,1
44,21.51,1
44,21.51,1
44,21.51,1
45,21.99,1
44,21.51,1
44,21.51,1
43,21.02,1
44,21.51,1
43,21.02,1
44,21.51,1
44,21.51,1
44,21.51,1
43,21.02,1
43,21.02,1
44,21.51,1
43,21.02,1
44,21.51,1
44,21.51,1
43,21.02,1
44,21.51,1
44,21.51,1
44,21.51,1
44,21.51,1
44,21.51,1
44,21.51,1
44,21.51,1
43,21.02,1
43,21.02,1
43,21.02,1
44,21.51,1
43,21.02,1
43,21.02,1
42,20.53,1
44,21.51,1
43,21.02,1
44,21.51,1
43,21.02,1
44,21.51,1
43,21.02,1
43,21.02,1
43,21.02,1
43,21.02,1
43,21.02,1
43,21.02,1
43,21.02,1
43,21.02,1
41,20.04,1
40,19.55,1
38,18.57,1
36,17.60,1
35,17.11,1
36,17.60,1
35,17.11,1
35,17.11,1
34,16.62,1
35,17.11,1
35,17.11,1
34,16.62,1
32,15.64,1
32,15.64,1
32,15.64,1
31,15.15,1
30,14.66,1
30,14.66,1
29,14.17,1
30,14.66,1
29,14.17,1
29,14.17,1
27,13.20,1
27,13.20,1
27,13.20,1
26,12.71,1
26,12.71,1
28,13.69,1
27,13.20,1
27,13.20,1
25,12.22,1
25,12.22,1
26,12.71,1
26,12.71,1
24,11.73,1
25,12.22,1
24,11.73,1
24,11.73,1
24,11.73,1
25,12.22,1
23,11.24,1
23,11.24,1
24,11.73,1
24,11.73,1
23,11.24,1
24,11.73,1
23,11.24,1
23,11.24,1
22,10.75,1
24,11.73,1
23,11.24,1
24,11.73,1
23,11.24,1
22,10.75,1
23,11.24,1
24,11.73,1
22,10.75,1
22,10.75,1
22,10.75,1
22,10.75,1
22,10.75,1
23,11.24,1
22,10.75,1
23,11.24,1
23,11.24,1
22,10.75,1
21,10.26,1
22,10.75,1
22,10.75,1
22,10.75,1
22,10.75,1
21,10.26,1
22,10.75,1
22,10.75,1
22,10.75,1
21,10.26,1
22,10.75,1
20,9.78,0
22,10.75,1
22,10.75,1
21,10.26,1
22,10.75,1
21,10.26,1
20,9.78,0
22,10.75,1
21,10.26,1
21,10.26,1
21,10.26,1
20,9.78,0
21,10.26,1
21,10.26,1
22,10.75,1
21,10.26,1
20,9.78,0
22,10.75,1
21,10.26,1
20,9.78,0
21,10.26,1
21,10.26,1
21,10.26,1
21,10.26,1
22,10.75,1
21,10.26,1
22,10.75,1
21,10.26,1
22,10.75,1
20,9.78,0
21,10.26,1
21,10.26,1
20,9.78,0
20,9.78,0
20,9.78,0
20,9.78,0
20,9.78,0
21,10.26,1
20,9.78,0
20,9.78,0
19,9.29,0
21,10.26,1
